Unidade;Sigla;Competencia
Coordenação-Geral de Tecnologia da Informação;CGTI;"I - ordenar despesas regulares de natureza descentralizada inerentes à sua área de responsabilidade;
II - representar institucionalmente o INPI em assuntos de tecnologia da informação, junto a órgãos do Governo e da sociedade;
III - coordenar, supervisionar, orientar, acompanhar e avaliar a elaboração do Plano Diretor de Tecnologia da Informação e demais planos, programas, projetos e contratações de tecnologia da informação, assim como os recursos orçamentários associados;
I - planejar, coordenar, supervisionar e acompanhar as atividades de TIC do INPI;
II - promover a governança de TIC, com respaldo do Comitê de Governança Digital - CGD do INPI, objetivando maximizar os benefícios dos investimentos tecnológicos e minimizar os potenciais impactos negativos;
III - propor diretrizes e normas e implementar as políticas de TIC do INPI, observadas as orientações do Sistema de Administração dos Recursos de Tecnologia da Informação - SISP;
IV - prover produtos e serviços digitais de TIC adequados ao INPI, observando as diretrizes de segurança da informação;
V - avaliar e definir novas tecnologias, visando propor soluções atualizadas para o ambiente dos sistemas de informação;
VI - cooperar tecnicamente no intercâmbio de informações e na transferência de dados entre o INPI e demais instituições congêneres;
VII - realizar o acompanhamento técnico de contratos, convênio se projetos, e quaisquer instrumentos de transferência, relacionados ao uso de TIC;
VIII - zelar pela eficácia dos processos operacionais, utilizando-se de tecnologia adequada; e
IX - liderar, coordenar e supervisionar as atividades relacionadas à administração e gestão de dados e inteligência artificial no INPI."
Coordenação de Sistemas de Informação;COSIS;"I - planejar, coordenar e orientar o desenvolvimento das atividades relacionadas com:
a) desenvolvimento, manutenção, homologação e implantação de sistemas da informação;
b) padronizações, metodologias e processo de software;
c) qualidade de software; e
d) prospecção tecnológica.
II - coordenar e acompanhar a execução das atividades na área de Tecnologia da Informação, na sua área de sua competência, tais como análise de negócios, de requisitos, de sistemas, de qualidade de software, de métricas de software, entre outras capacidades se atividades necessárias ao desenvolvimento e manutenção de sistemas de informação."
Divisão de Sistemas de Informação;DISIS;"I - modelar, desenvolver, manter e homologar sistemas que automatizem e racionalizem os processos de trabalho no âmbito do INPI;
II - manter os sistemas em produção promovendo as ações corretivas que se façam necessárias automatizadas;
III - disponibilizar às unidades do INPI as ferramentas adequadas para acesso às informações;
IV - manter documentação atualizada dos códigos fontes, manuais de usuário, sistemas, projetos e outros vinculados à sua área de atuação; e
V - interagir com as áreas interessadas em soluções de software no intuito de compreender a estrutura, os requisitos e as operações necessárias para desenvolver ou recomendar soluções que permitam o alcance de suas metas."
Serviço de Suporte aos Sistemas em Produção;SESUS;"I - acompanhar as atividades operacionais relativas ao ambiente dos sistemas de produção, e especificamente:
a) receber as demandas e providenciar a respectiva resposta e/ou solução;
b) acompanhar a disponibilidade dos sistemas em produção; e
c) acionar o suporte e a manutenção dos ativos do INPI, junto às equipes responsáveis.
II - reportar à COSIS e às equipes responsáveis os incidentes que venham a colocar em risco a produtividade dos sistemas; e
III - gerenciar a configuração dos sistemas em produção, e especificamente:
a) executar tarefas de controle de versão relativas à identificação dos sistemas em produção; e
b) implantar nos respectivos ambientes as solicitações requeridas sobre os sistemas em produção."
Coordenação de Infraestrutura e Suporte;COINF;"I - planejar, coordenar, acompanhar e supervisionar as atividades, programas e projetos relativos ao ambiente de serviços de infraestrutura de tecnologia da informação;
II - zelar pelo correto cumprimento dos padrões de funcionalidade e desempenho da infraestrutura de tecnologia da informação;
III - coordenar as políticas e diretrizes referentes a recursos de infraestrutura de tecnologia da informação;
IV - acompanhar e avaliar a gestão dos projetos e atividades de infraestrutura de tecnologia da informação, propondo ações e sugerindo prioridades;
V- avaliar e propor a aquisição de novas tecnologias e serviços de infraestrutura em tecnologia da informação que garantam o funcionamento adequado e compatível com as necessidades do INPI; e
VI - planejar, coordenar e orientar a administração do banco de dados."
Divisão de Infraestrutura e Suporte;DIINF;"I - elaborar o planejamento, executar, acompanhar e supervisionaras atividades, programas e projetos relativos à infraestrutura de tecnologia da informação e suporte técnico no âmbito do INPI;
II - prospectar tecnologias para subsidiar o planejamento de modernização, compatibilidade, integração, reuso e manutenção da infraestrutura de tecnologia da informação;
III - consolidar os projetos de infraestrutura de tecnologia da informação, assegurando a integração, compatibilidade e reuso de recursos destinados ao atendimento das necessidades institucionais;
IV - propor, elaborar, implantar e homologar projetos e soluções de tecnologia da informação, conforme as melhores práticas de gerenciamento de projetos;
V - zelar pela manutenção dos ativos de tecnologia da informação; e
VI - planejar, orientar e acompanhar o desenvolvimento das atividades relacionadas com administração do banco de dados."
Seção de Telefonia;SETEL;"I - planejar, orientar e supervisionar as contratações relacionadas à telefonia;
II - acompanhar e fiscalizar a execução dos serviços relacionados à telefonia realizados por terceiros;
III - controlar e manter em funcionamento contínuo as centrais telefônicas e aparelhos telefônicos, propondo, quando necessário, a expansão, a substituição e a aquisição de equipamentos; e
IV - emitir relatórios de consumo telefônico a pedido da Administração."
Divisão de Administração e Gestão de Dados;DADOS;"I - desenvolver, documentar e manter pipelines de ETL (extração, transformação e carregamento), fluxo de dados e modelagem dos sistemas de informações;
II - administrar, gerir e controlar os dados, garantindo que estejam devidamente classificados, mapeados e acessíveis de acordo com as políticas do Instituto;
III - assegurar que as políticas de dados estejam em conformidade com regulamentos;
IV - propor os padrões de qualidade de dados, de acessibilidade de dados, de uso de Inteligência Artificial e de desenvolvimento de Inteligência Artificial;
V - desenvolver, manter e validar os modelos de Inteligência Artificial implementados, monitorando continuamente sua precisão e ajustando-os conforme necessário;
VI - implementar projetos de ciência de dados e machine learning para automatizar processos e apoiar a tomada de decisões com base em dados;
VII - interagir com as áreas interessadas em soluções de dados e Inteligência Artificial no intuito de compreender a estrutura, os requisitos e as operações necessárias para desenvolver ou recomendar soluções que permitam o alcance de suas metas; e
VIII - explorar novas tecnologias e soluções de mercado que possam aprimorar o uso de Inteligência Artificial no Instituto."
Divisão de Suporte à Gestão de Tecnologia da Informação;DISTI;"I - acompanhar a elaboração da proposta orçamentária dos recursos de tecnologia da informação e sua respectiva execução;
II - auxiliar na elaboração de documentos relativos aos procedimentos de contratação de soluções de tecnologia da informação;
III - acompanhar o plano de aquisições de bens e contratação de serviços de tecnologia da informação;
IV - subsidiar a elaboração de relatórios de desempenho e acompanhamento da gestão de tecnologia da informação;
V - elaborar e rever procedimentos administrativos internos; e
VI - manter o acervo normativo da Divisão de Suporte à Gestão de Tecnologia da Informação."
Divisão de Segurança da Informação;DISEG;"I - planejar, executar, acompanhar e supervisionar as atividades, programas, políticas e projetos relativos à segurança da informação no âmbito da tecnologia da informação, garantindo o cumprimento da Política de Segurança da Informação e Comunicações;
II - pesquisar, propor e homologar novos projetos e tecnologias de segurança para o aprimoramento da segurança da informação no âmbito da tecnologia da informação.
III - zelar pelo correto cumprimento dos padrões de segurança da informação em toda infraestrutura de tecnologia da informação;
IV - zelar pelo cumprimento das normas vigentes e boas práticas atinentes ao tratamento de incidentes que envolvam a Segurança da Informação, ativos de tecnologia da informação, apoiando as ações de controle, investigativas, correcionais e auditorias internas e externas;
V - zelar para que ativos de hardware e software sejam aderentes aos normativos e às boas práticas sob a ótica da segurança da informação;
VI - promover política de backup com capacidade e abrangência necessárias à garantia da integridade e recuperação de dados, serviços e ambientes de tecnologia da informação;
VII - realizar anualmente a revisão das autorizações de acessos externos aos serviços e bases de dados, com base nos normativos vigentes, informando qualquer não conformidade encontrada; e
VIII - realizar testes de segurança no portal e serviços disponibilizados pelo INPI ao público interno e externo, reportando vulnerabilidades."
Divisão de Padronização de Software;DIPRO;"I - promover e acompanhar a implementação de normas, diretrizes, padrões técnicos e melhores práticas de gestão em projetos e processos de software no âmbito de sua competência;
II - elaborar, promover a implementação e acompanhar processos de software;
III - acompanhar a evolução tecnológica do mercado e promover estudos prospectivos sobre novas tecnologias, visando à melhoria contínua dos serviços executados;
IV - definir, implementar e supervisionar a execução de metodologia de desenvolvimento de sistemas e estabelecer padrões de aceitação de sistemas desenvolvidos;
V - acompanhar e propor o uso de orientações de padronização do Governo, de acordo com as necessidades do INPI; e
VI - avaliar a qualidade dos sistemas da informação e propor melhorias."
Serviço de Atendimento ao Usuário e Administração de Rede;SERED;"I - executar e acompanhar as atividades operacionais relativas a infraestrutura de tecnologia da informação, serviço de atendimento ao usuário, e especificamente:
a) receber as demandas e providenciar a execução dos serviços;
b) executar demais tarefas relativas à implantação, manutenção e melhoria da infraestrutura de tecnologia da informação e atendimento ao usuário e de segurança da informação;
c) manter o funcionamento e desempenho da infraestrutura; e
d) acionar o suporte e manutenção dos ativos do INPI, junto às suas empresas fornecedoras.
II - elaborar relatórios de atividades de:
a) operação dos ativos de tecnologia da informação, indicando os pontos passíveis de melhoria e/ou correção;
b) qualidade de atendimento a usuários, indicando pontos de melhoria e/ou correção;
c) inventário de softwares em uso, informando sobre regularidade, necessidade de atualização e alternativas de softwares livres;
d) incidentes ou averiguações que possam representar risco à segurança da informação; e
e) outros relatórios, sob demanda.
III - realizar, testar e restaurar as cópias de segurança no ambiente da infraestrutura de tecnologia da informação, assegurando aderência à política de backup; e
IV - monitorar e configurar a infraestrutura de tecnologia da informação e rede de dados."
Divisão de Governança Setorial de Administração;DIGOV-DIRAD;"I - assistir o Diretor na supervisão e coordenação das atividades das unidades integrantes da estrutura da DIRAD;
II - coordenar os assuntos submetidos ao Diretor, promovendo a interação entre as unidades do INPI;
III - assistir o Diretor na definição das diretrizes e na implementação das ações da área de competência da DIRAD;
IV - assistir o Diretor na coordenação do processo de planejamento setorial e definições de metas da DIRAD;
V - elaborar estatísticas e indicadores de desempenho referentes às atividades da DIRAD;
VI - planejar, orientar, coordenar, supervisionar e avaliar as atividades da Divisão, propondo ao Diretor as medidas que se façam necessárias ao desempenho dessas atividades;
VII - auxiliar na formulação de relatórios e levantamento de informações para subsidiar o Diretor nas respostas aos órgãos de controle interno e externo; e
VIII - manifestar-se em processos administrativos pertinentes às suas competências."
Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados;DIRPA;"I - ordenar despesas regulares de natureza descentralizada inerentes à sua área de responsabilidade;
II - conceder privilégios de patentes;
III - extinguir privilégios de patentes, exceto nos casos de extinção por expiração do prazo de vigência do privilégio ou pela falta de pagamento da retribuição anual;
IV - declarar a caducidade de privilégios de patentes;
V - homologar a renúncia de privilégios de patentes;
VI - instaurar de ofício processos administrativos de nulidade de patentes;
VII - conceder registros de programas de computador e de topografia de circuitos integrados;
VIII - homologar a desistência dos pedidos de registros de programas de computador e de topografia de circuitos integrados;
IX - homologar a renúncia dos registros de programas de computador e de topografia de circuitos integrados;
X - supervisionar a aplicação das atribuições inerentes à Autoridade Internacional de Busca e Exame Preliminar no âmbito do PCT;
XI - orientar, coordenar, supervisionar e avaliar as atividades da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados, implantando as medidas que se façam necessárias ao desempenho dessas atividades;
XII - programar os atos administrativos necessários à normalização dos procedimentos em matéria de patentes;
XIII - fornecer subsídios de caráter técnico ao pronunciamento do Presidente do INPI ou do Governo Brasileiro em quaisquer outros foros internos ou externos de discussão sobre propriedade industrial;
XIV - planejar, monitorar e implementar ações de resposta aos riscos identificados no âmbito da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados, bem como aperfeiçoar os controles internos da gestão da unidade;
XV - garantir a tempestividade na elaboração das peças relativas à Prestação de Contas da INPI no que concerne à Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados;
XVI - examinar e decidir os pedidos de patentes de invenção e de modelo de utilidade, na forma da Lei no 9.279, de 14 de maio de 1996, consideradas as diretrizes de política industrial e tecnológica aprovadas pelo Governo federal;
XVII - participar das atividades articuladas do INPI com outros órgãos, empresas e entidades, com vistas à maior participação de brasileiros nos sistemas de proteção da propriedade intelectual;
XVIII - avaliar tecnicamente as propostas de novas ações cooperativas, acordos e tratados referentes a patentes;
XIX - coordenar, supervisionar e acompanhar a execução das ações cooperativas e a aplicação de acordos e tratados internacionais referentes a patentes;
XX - propor o aperfeiçoamento das práticas de análise e concessão de patentes e desenvolver seus padrões operacionais;
XXI - coordenar, supervisionar e acompanhar a aplicação das normas relativas à Autoridade Internacional de Busca e Exame Preliminar no âmbito do Tratado de Cooperação em Matéria de Patentes- PCT, de que trata o Decreto nº 81.742, de 31 de maio de 1978;
XXII - implementar as atividades relativas à manutenção e ao tratamento da documentação patentária e à difusão da informação tecnológica;
XXIII - registrar os pedidos de programas de computador, na forma da Lei no 9.609, de 19 de fevereiro de 1998, e da Lei no 9.610, de 19 de fevereiro de 1998; e
XXIV - registrar os pedidos de topografias de circuitos integrados, na forma da Lei no 11.484, de 31 de maio de 2007."
Divisão de Governança Setorial de Patentes, Programas de Computador e Topografia de Circuitos Integrados;DIGOV-DIRPA;"I - auxiliar a implementação e monitorar a aplicação das políticas de governança da DIRPA, garantindo a sua efetividade;
II - coordenar e apoiar os grupos de trabalho da DIRPA, garantindo a comunicação e a colaboração entre os membros;
III - dar suporte às demais unidades da DIRPA às ações, estudos e projetos de interesse da Diretoria;
IV - monitorar o progresso dos projetos e garantir o cumprimento dos prazos e orçamentos;
V - auxiliar na elaboração de relatórios de gestão e outros documentos de prestação de contas, apresentando os resultados e o desempenho da DIRPA;
VI - auxiliar os donos dos processos no mapeamento, análise e otimização dos fluxos de trabalho, identificando gargalos e oportunidades de melhoria;
VII - desenvolver e implementar ferramentas e metodologias para a gestão de processos;
VIII - monitorar e controlar o andamento dos processos, garantindo o cumprimento dos prazos e a qualidade dos serviços prestados;
IX - auxiliar os donos de processos a identificar, avaliar e monitorar os riscos dos processos;
X - identificar as necessidades de sistemas de informação da DIRPA, em colaboração com as demais unidades da DIRPA;
XI - auxiliar na elaboração das especificações técnicas para o desenvolvimento de sistemas, garantindo que atendam às necessidades dos usuários;
XII - acompanhar o desenvolvimento dos sistemas, garantindo a qualidade e o cumprimento dos prazos;
XIII - realizar testes e homologar os sistemas, garantindo que estejam prontos para uso;
XIV - fornecer suporte aos usuários dos sistemas;
XV - desenvolver e implementar estratégias para a captura, organização, armazenamento e disseminação do conhecimento técnico e jurídico relacionado à propriedade industrial;
XVI - criar e manter bases de referências técnicas, bibliotecas digitais e outros repositórios de informação relevantes para a DIRPA;
XVII - organizar e apoiar ações de capacitação dos servidores em temas relacionados à propriedade industrial, por meio de cursos, treinamentos e workshops;
XVIII - incentivar a produção e o compartilhamento de conhecimento entre os servidores da DIRPA, por meio de comunidades de prática e outras iniciativas;
XIX - monitorar e avaliar a eficácia das ações de gestão do conhecimento, propondo melhorias e ajustes quando necessário;
XX - elaborar minutas de portarias, resoluções e outros atos normativos relacionados à propriedade industrial;
XXI - auxiliar na análise do impacto regulatório das normas propostas, avaliando seus efeitos sobre a sociedade e o setor produtivo;
XXII - garantir a conformidade das normas com a legislação vigente e com as melhores práticas regulatórias;
XXIII - promover consultas internas e externas sobre as normas propostas, garantindo o alinhamento institucional e a participação da sociedade no processo de elaboração das normas;
XXIV - acompanhar e auxiliar na manifestação em discussões, tanto nacionais quanto internacionais, sobre legislação em propriedade industrial; e
XXV - prestar apoio administrativo e fornecer subsídios técnicos à DIRPA e suas unidades em suas atividades e projetos, inclusive na identificação e análise de petições, na disponibilização e publicação de decisões, e no planejamento, execução e acompanhamento de ações de interesse."
Serviço de Relacionamento com Parceiros e Usuários;SERPU;"I - desenvolver e implementar estratégias para o relacionamento com os usuários da DIRPA, do INPI e público em geral;
II - promover a divulgação dos serviços da DIRPA, interna e externamente, por meio de campanhas de comunicação, publicação no Portal, publicação na intranet, elaboração de comunicados e outras iniciativas;
III - atuar diretamente ou apoiar a manifestação nos canais de comunicação do INPI, inclusive solucionando problemas e dúvidas dos usuários;
IV - coletar e analisar o feedback dos usuários, buscando identificar oportunidades de melhoria nos serviços prestados;
V - auxiliar no planejamento e apoiar as ações das unidades da DIRPA nas ações de relacionamento com usuário interno e externo;
VI - auxiliar no estabelecimento e manutenção de parcerias estratégicas com outras instituições, como universidades, empresas e órgãos governamentais;
VII - atuar no desenvolvimento e implementação de projetos de cooperação técnica, visando o intercâmbio de conhecimento e a melhoria dos serviços prestados;
VIII - promover a participação dos servidores da DIRPA em eventos e fóruns nacionais e internacionais relacionados à propriedade industrial;
IX - monitorar e avaliar os resultados das parcerias, buscando identificar oportunidades de melhoria; e
X - organizar e conduzir eventos com participação de atores internos e externos à DIRPA."
Coordenação-Geral de Patentes I;CGPAT-I;"I - coordenar estudos para o aperfeiçoamento das rotinas e da análise e concessão de patentes;
II - propor o aperfeiçoamento das diretrizes, normas e procedimentos de exame de pedidos de patentes;
III - dar suporte à participação da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados de Patentes nas atividades articuladas entre o INPI e outros órgãos, empresas e entidades;
IV - apoiar a elaboração de estudos e fornecimento de informações de caráter técnico sobre a legislação vigente de propriedade industrial, incluindo tratados, acordos e outros instrumentos internacionais congêneres sobre a Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados para apresentação de subsídios de caráter técnico para o pronunciamento do Presidente do INPI ou do Governo Brasileiro em quaisquer foros internos ou externos de discussão sobre propriedade industrial;
V - avaliar e decidir quanto a concessão de prazo adicional para a prática de atos relacionados às competências da coordenação;
VI - coordenar, supervisionar e manifestar-se, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, visando a instruir as ações judiciais; e
VII - articular com as demais unidades da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados e unidades do INPI ações, estudos e projetos de interesse da Diretoria na promoção e disseminação da propriedade industrial."
Divisão de Patentes I;DIPAT-I;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
Divisão de Patentes II;DIPAT-II;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
Divisão de Patentes III;DIPAT-III;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
Divisão de Patentes IV;DIPAT-IV;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
Divisão de Patentes V;DIPAT-V;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
Coordenação-Geral de Patentes II;CGPAT-II;"I - coordenar estudos para o aperfeiçoamento das rotinas e da análise e concessão de patentes;
II - propor o aperfeiçoamento das diretrizes, normas e procedimentos de exame de pedidos de patentes;
III - dar suporte à participação da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados de Patentes nas atividades articuladas entre o INPI e outros órgãos, empresas e entidades;
IV - apoiar a elaboração de estudos e fornecimento de informações de caráter técnico sobre a legislação vigente de propriedade industrial, incluindo tratados, acordos e outros instrumentos internacionais congêneres sobre a Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados para apresentação de subsídios de caráter técnico para o pronunciamento do Presidente do INPI ou do Governo Brasileiro em quaisquer foros internos ou externos de discussão sobre propriedade industrial;
V - avaliar e decidir quanto a concessão de prazo adicional para a prática de atos relacionados às competências da coordenação;
VI - coordenar, supervisionar e manifestar-se, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, visando a instruir as ações judiciais; e
VII - articular com as demais unidades da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados e unidades do INPI ações, estudos e projetos de interesse da Diretoria na promoção e disseminação da propriedade industrial."
Divisão de Patentes VI;DIPAT-VI;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
Divisão de Patentes VII;DIPAT-VII;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
Divisão de Patentes VIII;DIPAT-VIII;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
Divisão de Patentes IX;DIPAT-IX;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
Divisão de Patentes X;DIPAT-X;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
Coordenação-Geral de Patentes III;CGPAT-III;"I - coordenar estudos para o aperfeiçoamento das rotinas e da análise e concessão de patentes;
II - propor o aperfeiçoamento das diretrizes, normas e procedimentos de exame de pedidos de patentes;
III - dar suporte à participação da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados de Patentes nas atividades articuladas entre o INPI e outros órgãos, empresas e entidades;
IV - apoiar a elaboração de estudos e fornecimento de informações de caráter técnico sobre a legislação vigente de propriedade industrial, incluindo tratados, acordos e outros instrumentos internacionais congêneres sobre a Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados para apresentação de subsídios de caráter técnico para o pronunciamento do Presidente do INPI ou do Governo Brasileiro em quaisquer foros internos ou externos de discussão sobre propriedade industrial;
V - avaliar e decidir quanto a concessão de prazo adicional para a prática de atos relacionados às competências da coordenação;
VI - coordenar, supervisionar e manifestar-se, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, visando a instruir as ações judiciais; e
VII - articular com as demais unidades da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados e unidades do INPI ações, estudos e projetos de interesse da Diretoria na promoção e disseminação da propriedade industrial."
Divisão de Patentes XI;DIPAT-XI;"I - proceder à classificação, busca de anterioridades e exame técnico dos pedidos de patentes nacionais e dos pedidos de patentes internacionais, depositados através de tratados em que o Brasil seja signatário;
II - avaliar e decidir sobre a perda de prioridade unionista dos pedidos de patentes quanto ao mérito;
III - manifestar-se tecnicamente, quando solicitado pela Procuradoria Federal Especializada junto ao INPI, na instrução de ações judiciais;
IV - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação; e
V - participar, quando solicitada, das ações, estudos e projetos de interesse da Diretoria de Patentes, Programas de Computador e Topografias de Circuitos Integrados na promoção e disseminação da propriedade industrial."
