Unidade;Sigla;Conhecimento;Relevancia (Score);Ordem;Tipo_de_Conhecimento;Grau_Conhecimento_Instalado
Coordenação-Geral de Logística e Infraestrutura;CGLI;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;31.90%;2;Essencial;3
Coordenação-Geral de Logística e Infraestrutura;CGLI;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;29.60%;3;Essencial;3
Coordenação-Geral de Logística e Infraestrutura;CGLI;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;28.44%;4;Essencial;3
Coordenação-Geral de Logística e Infraestrutura;CGLI;Ciência da Informação > Gestão da Informação e do Conhecimento > Arquivologia;27.27%;5;Essencial;3
Serviço de Apoio a Gestão e Sustentabilidade;SAGES;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;13.76%;1;Essencial;1
Serviço de Apoio a Gestão e Sustentabilidade;SAGES;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TIC com Base nas Boas Práticas Devops;13.31%;2;Essencial;1
Serviço de Apoio a Gestão e Sustentabilidade;SAGES;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;13.31%;3;Essencial;1
Serviço de Apoio a Gestão e Sustentabilidade;SAGES;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;13.11%;4;Essencial;1
Serviço de Apoio a Gestão e Sustentabilidade;SAGES;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;12.04%;5;Essencial;1
Coordenação de Engenharia e Arquitetura;CENGE;Ciência da Informação > Tecnologia da Informação > Arquitetura Cloud;17.68%;1;Essencial;1
Coordenação de Engenharia e Arquitetura;CENGE;Psicologia > Psicologia do Trabalho e Organizacional > Gestão do Tempo e Produtividade;16.71%;2;Apoio;1
Coordenação de Engenharia e Arquitetura;CENGE;Ciência da Informação > Tecnologia da Informação > Arquitetura Cloud com Referência nas Tecnologias AWS;12.66%;3;Apoio;1
Coordenação de Engenharia e Arquitetura;CENGE;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;9.82%;4;Essencial;1
Coordenação de Engenharia e Arquitetura;CENGE;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;9.63%;5;Essencial;1
Divisão de Engenharia;DIENG;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;10.97%;1;Essencial;1
Divisão de Engenharia;DIENG;Ciência da Informação > Tecnologia da Informação > Internet das Coisas;10.10%;2;Essencial;1
Divisão de Engenharia;DIENG;Educação > Planejamento e Avaliação Educacional > Avaliação da Satisfação das Partes Interessadas;7.63%;3;Apoio;1
Divisão de Engenharia;DIENG;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TIC com Base nas Boas Práticas Devops;7.55%;4;Essencial;1
Divisão de Engenharia;DIENG;Ciência da Informação > Gestão da Informação e do Conhecimento > Concurso Público e Elaboração de Edital;6.76%;5;Essencial;1
Divisão de Arquitetura e Segurança do Trabalho;DIARQ;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;24.23%;1;Essencial;1
Divisão de Arquitetura e Segurança do Trabalho;DIARQ;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TIC com Base nas Boas Práticas Devops;22.63%;2;Essencial;1
Divisão de Arquitetura e Segurança do Trabalho;DIARQ;Ciência da Informação > Gestão da Informação e do Conhecimento > Concurso Público e Elaboração de Edital;20.81%;3;Essencial;1
Divisão de Arquitetura e Segurança do Trabalho;DIARQ;Ciência da Informação > Análise e Ciência de Dados > Uso do R para Integração de Dados e Análise Estatística;18.77%;4;Apoio;1
Divisão de Arquitetura e Segurança do Trabalho;DIARQ;Ciência da Informação > Tecnologia da Informação > Arquitetura Cloud com Referência nas Tecnologias AWS;17.27%;5;Apoio;1
Coordenação de Aquisições, Licitações e Contratos;COLIC;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;26.01%;1;Essencial;1
Coordenação de Aquisições, Licitações e Contratos;COLIC;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;21.66%;2;Essencial;1
Coordenação de Aquisições, Licitações e Contratos;COLIC;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;20.76%;3;Essencial;1
Coordenação de Aquisições, Licitações e Contratos;COLIC;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos para Melhoria de Produtividade;20.26%;4;Essencial;1
Coordenação de Aquisições, Licitações e Contratos;COLIC;Ciência da Informação > Tecnologia da Informação > Continuidade de Negócio e Plano de Recuperação de Desastres;19.66%;5;Essencial;1
Divisão de Contratos Administrativos;DICAD;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;20.13%;1;Essencial;1
Divisão de Contratos Administrativos;DICAD;Ciência da Informação > Gestão da Informação e do Conhecimento > Atualização em Bases de Dados Eletrônicas;19.15%;2;Essencial;1
Divisão de Contratos Administrativos;DICAD;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;17.78%;3;Essencial;1
Divisão de Contratos Administrativos;DICAD;Ciência da Informação > Análise e Ciência de Dados > Uso do R para Integração de Dados e Análise Estatística;17.39%;4;Apoio;1
Divisão de Contratos Administrativos;DICAD;Educação > Ensino-Aprendizagem > Tendências do Mercado Mundial de Tecnologias e Sua Interface com a PI;17.18%;5;Apoio;1
Seção de Repactuações de Contratos;SEREP;Ciência da Informação > Tecnologia da Informação > Continuidade de Negócio e Plano de Recuperação de Desastres;12.07%;1;Essencial;1
Seção de Repactuações de Contratos;SEREP;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;11.99%;2;Apoio;1
Seção de Repactuações de Contratos;SEREP;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;11.67%;3;Essencial;1
Seção de Repactuações de Contratos;SEREP;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;11.49%;4;Essencial;1
Seção de Repactuações de Contratos;SEREP;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;11.10%;5;Apoio;1
Divisão de Processos de Aquisição;DIPRA;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;19.66%;1;Essencial;1
Divisão de Processos de Aquisição;DIPRA;Ciência da Informação > Análise e Ciência de Dados > Uso do R para Integração de Dados e Análise Estatística;19.20%;2;Apoio;1
Divisão de Processos de Aquisição;DIPRA;Ciência da Informação > Gestão da Informação e do Conhecimento > Concurso Público e Elaboração de Edital;19.15%;3;Essencial;1
Divisão de Processos de Aquisição;DIPRA;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;18.27%;4;Apoio;1
Divisão de Processos de Aquisição;DIPRA;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;18.04%;5;Apoio;1
Coordenação de Prestação de Serviços, Materiais e Patrimônio;COPEM;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;30.73%;1;Essencial;1
Coordenação de Prestação de Serviços, Materiais e Patrimônio;COPEM;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TIC com Base nas Boas Práticas Devops;21.15%;2;Essencial;1
Coordenação de Prestação de Serviços, Materiais e Patrimônio;COPEM;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;13.60%;3;Essencial;1
Coordenação de Prestação de Serviços, Materiais e Patrimônio;COPEM;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;12.98%;4;Essencial;1
Coordenação de Prestação de Serviços, Materiais e Patrimônio;COPEM;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;11.92%;5;Essencial;1
Divisão de Logística das Unidades Regionais;DILOG;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;23.80%;1;Essencial;1
Divisão de Logística das Unidades Regionais;DILOG;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;21.35%;2;Essencial;1
Divisão de Logística das Unidades Regionais;DILOG;Ciência da Informação > Gestão da Informação e do Conhecimento > Atualização em Bases de Dados Eletrônicas;19.78%;3;Essencial;1
Divisão de Logística das Unidades Regionais;DILOG;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;19.76%;4;Essencial;1
Divisão de Logística das Unidades Regionais;DILOG;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;18.85%;5;Essencial;1
Serviço de Patrimônio;SERPA;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;18.12%;1;Essencial;1
Serviço de Patrimônio;SERPA;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;17.57%;2;Essencial;1
Serviço de Patrimônio;SERPA;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;16.29%;3;Essencial;1
Serviço de Patrimônio;SERPA;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;15.54%;4;Essencial;1
Serviço de Patrimônio;SERPA;Psicologia > Psicologia do Trabalho e Organizacional > Gestão do Tempo e Produtividade;14.63%;5;Apoio;1
Serviço de Suprimentos;SESUP;Educação > Ensino-Aprendizagem > Tendências do Mercado Mundial de Tecnologias e Sua Interface com a PI;15.09%;1;Apoio;1
Serviço de Suprimentos;SESUP;Ciência da Informação > Análise e Ciência de Dados > Uso do R para Integração de Dados e Análise Estatística;13.53%;2;Apoio;1
Serviço de Suprimentos;SESUP;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;12.92%;3;Apoio;1
Serviço de Suprimentos;SESUP;Ciência da Informação > Tecnologia da Informação > Continuidade de Negócio e Plano de Recuperação de Desastres;11.50%;4;Essencial;1
Serviço de Suprimentos;SESUP;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;11.22%;5;Apoio;1
Serviço de Administração Predial e Atividades Auxiliares;SAPRA;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;28.62%;1;Essencial;1
Serviço de Administração Predial e Atividades Auxiliares;SAPRA;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;19.96%;2;Essencial;1
Serviço de Administração Predial e Atividades Auxiliares;SAPRA;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TIC com Base nas Boas Práticas Devops;19.70%;3;Essencial;1
Serviço de Administração Predial e Atividades Auxiliares;SAPRA;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;18.30%;4;Essencial;1
Serviço de Administração Predial e Atividades Auxiliares;SAPRA;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;17.46%;5;Essencial;1
Divisão de Gestão Documental;DIGED;Ciência da Informação > Gestão da Informação e do Conhecimento > Atualização em Bases de Dados Eletrônicas;25.24%;1;Essencial;1
Divisão de Gestão Documental;DIGED;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;21.98%;2;Essencial;1
Divisão de Gestão Documental;DIGED;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;19.79%;3;Essencial;1
Divisão de Gestão Documental;DIGED;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;18.59%;4;Essencial;1
Divisão de Gestão Documental;DIGED;Ciência da Informação > Análise e Ciência de Dados > Uso do R para Integração de Dados e Análise Estatística;17.75%;5;Apoio;1
Serviço de Protocolo e Expedição;SEPEX;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;27.45%;1;Apoio;1
Serviço de Protocolo e Expedição;SEPEX;Ciência da Informação > Análise e Ciência de Dados > Tratamento de Dados;25.24%;2;Apoio;1
Serviço de Protocolo e Expedição;SEPEX;Ciência da Informação > Análise e Ciência de Dados > Visualização de Dados;23.81%;3;Apoio;1
Serviço de Protocolo e Expedição;SEPEX;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;23.48%;4;Apoio;1
Serviço de Protocolo e Expedição;SEPEX;Ciência da Informação > Análise e Ciência de Dados > Linguagem de Programação;23.48%;5;Apoio;1
Seção de Apoio Operacional ao Protocolo;SAPRO;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;16.34%;1;Essencial;1
Seção de Apoio Operacional ao Protocolo;SAPRO;Ciência da Informação > Arquivologia > Gestão de Documentos Digitais;16.27%;2;Essencial;1
Seção de Apoio Operacional ao Protocolo;SAPRO;Ciência da Informação > Gestão da Informação e do Conhecimento > Automatização de Documentos;16.19%;3;Essencial;1
Seção de Apoio Operacional ao Protocolo;SAPRO;Ciência da Informação > Gestão da Informação e do Conhecimento > Automatização de Planilhas e Documentos;15.18%;4;Essencial;1
Seção de Apoio Operacional ao Protocolo;SAPRO;Educação > Ensino-Aprendizagem > Tendências do Mercado Mundial de Tecnologias e Sua Interface com a PI;13.64%;5;Apoio;1
Serviço de Arquivo Geral;SARGE;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;36.33%;1;Essencial;1
Serviço de Arquivo Geral;SARGE;Ciência da Informação > Gestão da Informação e do Conhecimento > Automatização de Documentos;33.57%;2;Essencial;1
Serviço de Arquivo Geral;SARGE;Ciência da Informação > Gestão da Informação e do Conhecimento > Automatização de Planilhas e Documentos;31.47%;3;Essencial;1
Serviço de Arquivo Geral;SARGE;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;27.17%;4;Essencial;1
Serviço de Arquivo Geral;SARGE;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;27.12%;5;Essencial;1
Coordenação-Geral de Orçamento e Finanças;CGOF;Ciência da Informação > Gestão da Informação e do Conhecimento > Automatização de Planilhas e Documentos;31.90%;1;Essencial;3
Coordenação-Geral de Orçamento e Finanças;CGOF;Ciência da Informação > Gestão da Informação e do Conhecimento > Planilhas Eletrônicas;29.87%;2;Essencial;3
Coordenação-Geral de Orçamento e Finanças;CGOF;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;29.41%;3;Essencial;3
Coordenação-Geral de Orçamento e Finanças;CGOF;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;28.56%;4;Essencial;1
Coordenação-Geral de Orçamento e Finanças;CGOF;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;28.52%;5;Essencial;3
Seção de Apoio Administrativo;SEADM;Ciência da Informação > Tecnologia da Informação > Internet das Coisas;11.11%;1;Essencial;1
Seção de Apoio Administrativo;SEADM;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos para Melhoria de Produtividade;9.24%;2;Essencial;1
Seção de Apoio Administrativo;SEADM;Ciência da Informação > Gestão da Informação e do Conhecimento > Concurso Público e Elaboração de Edital;9.12%;3;Essencial;1
Seção de Apoio Administrativo;SEADM;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;9.00%;4;Essencial;1
Seção de Apoio Administrativo;SEADM;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;8.86%;5;Essencial;1
Divisão de Programação e Execução Financeira;DIPEF;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;18.97%;1;Essencial;1
Divisão de Programação e Execução Financeira;DIPEF;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;17.36%;2;Essencial;1
Divisão de Programação e Execução Financeira;DIPEF;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;15.16%;3;Essencial;1
Divisão de Programação e Execução Financeira;DIPEF;Psicologia > Psicologia do Trabalho e Organizacional > Gestão do Tempo e Produtividade;14.64%;4;Apoio;1
Divisão de Programação e Execução Financeira;DIPEF;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;14.46%;5;Essencial;1
Serviço de Liquidação Financeira;SELIF;Educação > Ensino-Aprendizagem > Tendências do Mercado Mundial de Tecnologias e Sua Interface com a PI;16.76%;1;Apoio;1
Serviço de Liquidação Financeira;SELIF;Ciência da Informação > Gestão da Informação e do Conhecimento > Atualização em Bases de Dados Eletrônicas;15.51%;2;Essencial;1
Serviço de Liquidação Financeira;SELIF;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;15.34%;3;Essencial;1
Serviço de Liquidação Financeira;SELIF;Ciência da Informação > Gestão da Informação e do Conhecimento > Automatização de Documentos;15.21%;4;Essencial;1
Serviço de Liquidação Financeira;SELIF;Ciência da Informação > Gestão da Informação e do Conhecimento > Automatização de Planilhas e Documentos;14.26%;5;Essencial;1
Divisão de Contabilidade Geral;DICON;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;12.31%;1;Essencial;1
Divisão de Contabilidade Geral;DICON;Ciência da Informação > Gestão da Informação e do Conhecimento > Automatização de Documentos;12.20%;2;Essencial;1
Divisão de Contabilidade Geral;DICON;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;11.57%;3;Apoio;1
Divisão de Contabilidade Geral;DICON;Ciência da Informação > Gestão da Informação e do Conhecimento > Automatização de Planilhas e Documentos;11.43%;4;Essencial;1
Divisão de Contabilidade Geral;DICON;Ciência da Informação > Tecnologia da Informação > Continuidade de Negócio e Plano de Recuperação de Desastres;11.40%;5;Essencial;1
Serviço de Arrecadação;SEARC;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;23.98%;1;Essencial;1
Serviço de Arrecadação;SEARC;Ciência da Informação > Análise e Ciência de Dados > Uso do R para Integração de Dados e Análise Estatística;23.79%;2;Apoio;1
Serviço de Arrecadação;SEARC;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos para Melhoria de Produtividade;23.51%;3;Essencial;1
Serviço de Arrecadação;SEARC;Ciência da Informação > Gestão da Informação e do Conhecimento > Atualização em Bases de Dados Eletrônicas;22.17%;4;Essencial;1
Serviço de Arrecadação;SEARC;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;21.91%;5;Essencial;1
Divisão de Orçamento e Custos;DIORC;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;37.07%;1;Essencial;1
Divisão de Orçamento e Custos;DIORC;Ciência da Informação > Gestão da Informação e do Conhecimento > Concurso Público e Elaboração de Edital;35.77%;2;Essencial;1
Divisão de Orçamento e Custos;DIORC;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;31.49%;3;Essencial;1
Divisão de Orçamento e Custos;DIORC;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;30.89%;4;Essencial;1
Divisão de Orçamento e Custos;DIORC;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão da Mudança;30.54%;5;Essencial;1
Serviço de Análise de Custos;SEANC;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão do Portfólio;21.42%;1;Essencial;1
Serviço de Análise de Custos;SEANC;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;18.12%;2;Essencial;1
Serviço de Análise de Custos;SEANC;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;16.88%;3;Essencial;1
Serviço de Análise de Custos;SEANC;Ciência da Informação > Gestão da Informação e do Conhecimento > Arquivologia;16.41%;4;Essencial;1
Serviço de Análise de Custos;SEANC;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão da Mudança;16.20%;5;Essencial;1
Coordenação-Geral de Tecnologia da Informação;CGTI;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TIC com Base nas Boas Práticas Devops;65.86%;1;Essencial;1
Coordenação-Geral de Tecnologia da Informação;CGTI;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;55.71%;2;Essencial;1
Coordenação-Geral de Tecnologia da Informação;CGTI;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;50.96%;3;Essencial;3
Coordenação-Geral de Tecnologia da Informação;CGTI;Ciência da Informação > Tecnologia da Informação > Continuidade de Negócio e Plano de Recuperação de Desastres;48.79%;4;Essencial;3
Coordenação-Geral de Tecnologia da Informação;CGTI;Ciência da Informação > Tecnologia da Informação > Arquitetura Cloud com Referência nas Tecnologias AWS;47.46%;5;Apoio;3
Coordenação de Sistemas de Informação;COSIS;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos;32.33%;1;Essencial;1
Coordenação de Sistemas de Informação;COSIS;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;32.09%;2;Apoio;1
Coordenação de Sistemas de Informação;COSIS;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos para Melhoria de Produtividade;30.40%;3;Essencial;1
Coordenação de Sistemas de Informação;COSIS;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;29.37%;4;Essencial;1
Coordenação de Sistemas de Informação;COSIS;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;28.94%;5;Essencial;1
Divisão de Sistemas de Informação;DISIS;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos para Melhoria de Produtividade;17.10%;1;Essencial;1
Divisão de Sistemas de Informação;DISIS;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;16.00%;2;Essencial;1
Divisão de Sistemas de Informação;DISIS;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;15.75%;3;Apoio;1
Divisão de Sistemas de Informação;DISIS;Educação > Ensino-Aprendizagem > Tendências do Mercado Mundial de Tecnologias e Sua Interface com a PI;14.87%;4;Apoio;1
Divisão de Sistemas de Informação;DISIS;Ciência da Informação > Gestão da Informação e do Conhecimento > Sistemas Internos;14.77%;5;Essencial;1
Serviço de Suporte aos Sistemas em Produção;SESUS;Educação > Ensino-Aprendizagem > Produção;26.79%;1;Apoio;1
Serviço de Suporte aos Sistemas em Produção;SESUS;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos para Melhoria de Produtividade;19.43%;2;Essencial;1
Serviço de Suporte aos Sistemas em Produção;SESUS;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos;18.09%;3;Essencial;1
Serviço de Suporte aos Sistemas em Produção;SESUS;Ciência da Informação > Gestão da Informação e do Conhecimento > Sistemas Internos;17.14%;4;Essencial;1
Serviço de Suporte aos Sistemas em Produção;SESUS;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;15.79%;5;Apoio;1
Coordenação de Infraestrutura e Suporte;COINF;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;48.16%;1;Essencial;1
Coordenação de Infraestrutura e Suporte;COINF;Ciência da Informação > Tecnologia da Informação > Gestão da Informação e Documentação;44.96%;2;Essencial;1
Coordenação de Infraestrutura e Suporte;COINF;Ciência da Informação > Tecnologia da Informação > Devops;42.16%;3;Essencial;1
Coordenação de Infraestrutura e Suporte;COINF;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;41.92%;4;Essencial;1
Coordenação de Infraestrutura e Suporte;COINF;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos;41.56%;5;Essencial;1
Divisão de Infraestrutura e Suporte;DIINF;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;47.97%;1;Essencial;1
Divisão de Infraestrutura e Suporte;DIINF;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;47.26%;2;Essencial;1
Divisão de Infraestrutura e Suporte;DIINF;Ciência da Informação > Tecnologia da Informação > Gestão da Informação e Documentação;45.49%;3;Essencial;1
Divisão de Infraestrutura e Suporte;DIINF;Ciência da Informação > Tecnologia da Informação > Devops;43.90%;4;Essencial;1
Divisão de Infraestrutura e Suporte;DIINF;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos;43.27%;5;Essencial;1
Seção de Telefonia;SETEL;Ciência da Informação > Análise e Ciência de Dados > Relatórios Dinâmicos e Dashboards;20.06%;1;Apoio;1
Seção de Telefonia;SETEL;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;19.11%;2;Essencial;1
Seção de Telefonia;SETEL;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TIC com Base nas Boas Práticas Devops;13.15%;3;Essencial;1
Seção de Telefonia;SETEL;Ciência da Informação > Gestão da Informação e do Conhecimento > Atualização em Bases de Dados Eletrônicas;12.15%;4;Essencial;1
Seção de Telefonia;SETEL;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;10.53%;5;Essencial;1
Divisão de Administração e Gestão de Dados;DADOS;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;40.06%;1;Apoio;1
Divisão de Administração e Gestão de Dados;DADOS;Ciência da Informação > Análise e Ciência de Dados > Tratamento de Dados;38.86%;2;Apoio;1
Divisão de Administração e Gestão de Dados;DADOS;Ciência da Informação > Análise e Ciência de Dados > Visualização de Dados;36.67%;3;Apoio;1
Divisão de Administração e Gestão de Dados;DADOS;Ciência da Informação > Tecnologia da Informação > Inteligência Artificial;34.82%;4;Essencial;1
Divisão de Administração e Gestão de Dados;DADOS;Ciência da Informação > Análise e Ciência de Dados > Uso do R para Integração de Dados e Análise Estatística;34.10%;5;Apoio;1
Divisão de Suporte à Gestão de Tecnologia da Informação;DISTI;Ciência da Informação > Tecnologia da Informação > Gestão da Informação e Documentação;53.62%;1;Essencial;1
Divisão de Suporte à Gestão de Tecnologia da Informação;DISTI;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;52.45%;2;Essencial;1
Divisão de Suporte à Gestão de Tecnologia da Informação;DISTI;Ciência da Informação > Tecnologia da Informação > Devops;48.85%;3;Essencial;1
Divisão de Suporte à Gestão de Tecnologia da Informação;DISTI;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Equipes de TI;48.84%;4;Essencial;1
Divisão de Suporte à Gestão de Tecnologia da Informação;DISTI;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Documentos;48.44%;5;Essencial;1
Divisão de Segurança da Informação;DISEG;Ciência da Informação > Tecnologia da Informação > Gestão da Informação e Documentação;56.65%;1;Essencial;1
Divisão de Segurança da Informação;DISEG;Ciência da Informação > Tecnologia da Informação > Gerenciamento de Serviços de TI;53.40%;2;Essencial;1
Divisão de Segurança da Informação;DISEG;Ciência da Informação > Tecnologia da Informação > Devops;52.69%;3;Essencial;1
Divisão de Segurança da Informação;DISEG;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos;51.93%;4;Essencial;1
Divisão de Segurança da Informação;DISEG;Ciência da Informação > Tecnologia da Informação > Flow;51.75%;5;Essencial;1
Divisão de Padronização de Software;DIPRO;Ciência da Informação > Gestão da Informação e do Conhecimento > Repositórios Digitais e Sistemas de Gestão do Conhecimento;27.46%;1;Essencial;1
Divisão de Padronização de Software;DIPRO;Ciência da Informação > Gestão da Informação e do Conhecimento > Gestão de Processos;27.22%;2;Essencial;1
Divisão de Padronização de Software;DIPRO;Ciência da Informação > Tecnologia da Informação > Sistemas Eletrônicos para Melhoria de Produtividade;26.05%;3;Essencial;1
Divisão de Padronização de Software;DIPRO;Ciência da Informação > Análise e Ciência de Dados > Extração de Dados de Sistemas Governamentais;24.80%;4;Apoio;1
Divisão de Padronização de Software;DIPRO;Ciência da Informação > Gestão da Informação e do Conhecimento > Sistemas Internos;24.28%;5;Essencial;1
